"city","state","county","number"
"los angeles","CA","LOS ANGELES",26
"new york","NY","NEW YORK",20
"austin","TX","HAYS",8
"austin","TX","TRAVIS",8
"austin","TX","WILLIAMSON",8
"boston","MA","SUFFOLK",7
"chicago","IL","COOK",7
"houston","TX","FORT BEND",7
"houston","TX","HARRIS",7
"san francisco","CA","SAN FRANCISCO",7
"san francisco","CA","SAN MATEO",7
"phoenix","AZ","MARICOPA",6
"washington","DC","DISTRICT OF COLUMBIA",6
"buffalo","NY","ERIE",5
"san antonio","TX","BEXAR",5
"san antonio","TX","COMAL",5
"san diego","CA","SAN DIEGO",5
"beverly hills","CA","LOS ANGELES",4
"denver","CO","ADAMS",4
"denver","CO","ARAPAHOE",4
"denver","CO","DENVER",4
"denver","CO","JEFFERSON",4
"nashville","TN","DAVIDSON",4
"portland","OR","CLACKAMAS",4
"portland","OR","MULTNOMAH",4
"portland","OR","WASHINGTON",4
"seattle","WA","KING",4
"baltimore","MD","ANNE ARUNDEL",3
"baltimore","MD","BALTIMORE",3
"baltimore","MD","BALTIMORE CITY",3
"charlotte","NC","MECKLENBURG",3
"dallas","TX","COLLIN",3
"dallas","TX","DALLAS",3
"las vegas","NV","CLARK",3
"milwaukee","WI","MILWAUKEE",3
"tampa","FL","HILLSBOROUGH",3
"atlanta","GA","COBB",2
"atlanta","GA","DEKALB",2
"atlanta","GA","FULTON",2
"brooklyn","NY","KINGS",2
"charleston","SC","BERKELEY",2
"charleston","SC","CHARLESTON",2
"cleveland","OH","CUYAHOGA",2
"columbus","OH","DELAWARE",2
"columbus","OH","FRANKLIN",2
"fort worth","TX","TARRANT",2
"gilbert","AZ","MARICOPA",2
"lexington","KY","FAYETTE",2
"manhattan",NA,NA,2
"memphis","TN","SHELBY",2
"newport beach","CA","ORANGE",2
"norwalk","CT","FAIRFIELD",2
"oklahoma city","OK","CLEVELAND",2
"oklahoma city","OK","OKLAHOMA",2
"orlando","FL","BREVARD",2
"orlando","FL","ORANGE",2
"philadelphia","PA","DELAWARE",2
"philadelphia","PA","PHILADELPHIA",2
"pittsburgh","PA","ALLEGHENY",2
"reno","NV","WASHOE",2
"richmond","IN","WAYNE",2
"rochester","NY","MONROE",2
"santa barbara","CA","SANTA BARBARA",2
"silver spring","MD","MONTGOMERY",2
"staten island","NY","RICHMOND",2
"toledo","OH","LUCAS",2
"toledo","OH","WOOD",2
"torrance","CA","LOS ANGELES",2
"tulsa","OK","CREEK",2
"tulsa","OK","TULSA",2
"alexandria","LA","RAPIDES",1
"allen","SD","BENNETT",1
"allen","TX","COLLIN",1
"ann arbor","MI","WASHTENAW",1
"arlington","VA","ARLINGTON",1
"arlington heights","IL","COOK",1
"aurora","IL","DUPAGE",1
"aurora","IL","KANE",1
"aurora","IL","WILL",1
"batesburg","SC","LEXINGTON",1
"batesville","AR","INDEPENDENCE",1
"bel air","MD","HARFORD",1
"bend","OR","DESCHUTES",1
"bettendorf","IA","SCOTT",1
"bloomington","IL","MCLEAN",1
"boise","ID","ADA",1
"bolingbrook","IL","WILL",1
"bothell","WA","KING",1
"bothell","WA","SNOHOMISH",1
"brookline","MA","NORFOLK",1
"burbank","CA","LOS ANGELES",1
"cambridge","MA","MIDDLESEX",1
"canton","MI","WAYNE",1
"carbondale","CO","GARFIELD",1
"carbondale","IL","JACKSON",1
"carolina beach","NC","NEW HANOVER",1
"central","IN","HARRISON",1
"chandler","AZ","MARICOPA",1
"chapel hill","NC","ORANGE",1
"chevy chase","MD","MONTGOMERY",1
"chillicothe","MO","LIVINGSTON",1
"cincinnati","OH","CLERMONT",1
"cincinnati","OH","HAMILTON",1
"clearwater","FL","PINELLAS",1
"columbia","SC","LEXINGTON",1
"columbia","SC","RICHLAND",1
"conway","AR","FAULKNER",1
"coventry","CT","TOLLAND",1
"davenport","FL","POLK",1
"de pere","WI","BROWN",1
"des moines","IA","POLK",1
"detroit",NA,NA,1
"detroit","MI","WAYNE",1
"eatontown","NJ","MONMOUTH",1
"el dorado hills","CA","EL DORADO",1
"elmwood park","IL","COOK",1
"emeryville","CA","ALAMEDA",1
"emporia","KS","LYON",1
"fargo","ND","CASS",1
"fernandina beach","FL","NASSAU",1
"florence","AL","LAUDERDALE",1
"frederick","MD","FREDERICK",1
"fresno","CA","FRESNO",1
"gaylord","MI","OTSEGO",1
"grand rapids","MI","KENT",1
"greensboro","AL","HALE",1
"greensboro","NC","GUILFORD",1
"groton","CT","NEW LONDON",1
"hamburg","NY","ERIE",1
"harrisburg","PA","DAUPHIN",1
